file_or_folder,purpose,manuscript_link,generated_by,notes
publication/figures/final/fig-nhd-workflow.png,NHDPlus HR preprocessing stages,Figure nhd-workflow,render_platform_figures.py,Objective 2
publication/figures/final/fig-example-basin-maps-combined-3panel.png,S/M/L benchmark domain maps,Figure example-basin-maps,render_example_basin_maps.py,Objective 3
publication/figures/final/fig-cal-val-02297600-hydrographs-3panel.png,Florida controlled gage hydrographs,Figure cal-val-hydro,export_objectives_4_5.py,Objective 4
publication/figures/final/fig-cal-val-05536265-hydrographs-3panel.png,Illinois controlled gage hydrographs,Figure cal-val-hydro-05536265,export_objectives_4_5.py,Objective 4
publication/figures/final/fig-sensitivity-ensemble-controlled-basins-daily.png,Morris 999-member ensemble daily hydrographs,Figure sensitivity-ensemble,export_objectives_4_5.py,Objective 4 main-text uncertainty figure
publication/tables/tab-sensitivity-ensemble-metrics.csv,Morris ensemble P-factor and R-factor,Table sensitivity-ensemble-metrics,export_objectives_4_5.py; emit_tab_sensitivity_ensemble_metrics_tex.py,Objective 4
publication/figures/supplement/fig-sensitivity-ensemble-controlled-basins-monthly.png,Morris ensemble monthly hydrographs,Supplementary Figure supp-sensitivity-ensemble-monthly,export_objectives_4_5.py,Objective 4 supplement
publication/figures/final/fig-morris-spider-controlled-basins.png,Morris spider charts (FL top-8; IL top-6),Supplementary Figure supp-morris-spider,plot_morris_spider.py,Objective 4 supplement
publication/figures/final/fig-runtime-benchmark-print-scope.png,Print-scope runtime comparison,Figure runtime-benchmark-print-scope,render_benchmark_figures.py,Objective 5
publication/figures/final/fig-runtime-benchmark-hru-scaling.png,HRU scaling ladder plot,Figure runtime-benchmark-hru-scaling,render_benchmark_figures.py,Objective 5
publication/analysis/evaluation-protocol.md,Locked evaluation protocol and phase gates,Methods; Data Availability,Manual curation,Cross-ref RP-03
publication/analysis/cal-val-sensitivity-basin-02297600.md,Florida controlled basin protocol,Results cal-val Florida,Manual freeze from completed runs,Objective 4
publication/analysis/cal-val-sensitivity-basin-05536265.md,Illinois controlled basin protocol,Results cal-val Illinois,Manual freeze from completed runs,Objective 4
documents/NHDPlus_HR_SWATPlus_Methods.md,Extended NHDPlus HR methods narrative,Methods NHD,Manual curation,Cross-ref RP-05 RP-06
documents/SWATGenX/README_NHDPlus_HR_SWATPlus.md,NHDPlus HR pipeline operator README,Methods overview,Manual curation,Cross-ref RP-04 RP-06
web_application/frontend/src/data/swatPlusRuntimeBenchmarkCatalog.json,Public runtime benchmark catalog source,Objective 5; public benchmark page,export_runtime_benchmark_catalog.py (swatplus_perf),Public interactive benchmark page
publication/bib/references.bib,Frozen bibliography keys,All sections,Manual curation,Cross-ref RP-14
